user_id,recipe1,relatedRecipes1,recipe2,relatedRecipes2,recipe3,relatedRecipes3,recipe4,relatedRecipes4,recipe5,relatedRecipes5
39835,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",stuffed acorn squash,"['baked acorn squash   brown sugar', 'acorn squash microwave baked', 'acorn squash a la kree']",texas style picante sauce,"['canned basic salsa', 'big batch salsa  for canning', 'wonderful salsa']",gehaktballen  dutch meatballs,"['the easiest asian pork dinner', 'dutch slavinken   1', 'sweet soy mushrooms on toast']",low fat thai steak salad,"['beef lok lak  cambodian recipe', 'easy thai beef salad', 'beef tips and rice']"
157425,black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",appetizers easy stuffed mushrooms,"['mushrooms for steak', 'easy sauted mushrooms', 'fried mushrooms in sour cream  paistetut sienet']",chicken fried steak with cracked pepper gravy,"['baked southern fried round steak', 'round steak in beer', 'marlboro country chicken fried steak  country fried']"
107135,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']"
222564,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",chilies corn muffins,"['cornmeal blender waffles', 'corn bread', 'cornbread']",classic cream scones,"['classic tea time cream scones', 'scones', 'easy no chill sugar cookies']",christmas snow punch,"['fresh lime', 'the party punch', 'wet panther']",moussaka,"['eggplant   aubergine  sauce for pasta', 'eggplant  aubergine  moussaka', 'beef and potato moussaka']"
280271,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",rote grtze,"['pie filling from frozen sweet cherries', 'strawberry pudding', 'raspberry cake filling']",chicken caesar wraps,"['tomato and basil salad', 'grilled basil and garlic stuffed chicken', 'chicken caesar wrap']",moussaka,"['eggplant   aubergine  sauce for pasta', 'eggplant  aubergine  moussaka', 'beef and potato moussaka']"
482376,cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",chicken fried steak with cracked pepper gravy,"['baked southern fried round steak', 'round steak in beer', 'marlboro country chicken fried steak  country fried']",chilies corn muffins,"['cornmeal blender waffles', 'corn bread', 'cornbread']"
174096,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",blueberry buttertarts,"['warm blueberry cobbler', 'cranberry pecan tarts', 'dad s butter tarts']"
428885,lou s fabulous bruschetta,"['party bruschetta', 'pesto hots', 'easy spicy parmesan toasts']",black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",cabbage and sausage soup,"['italian gravy w  chicken and sausage', 'broccoli rabe with sun dried tomatoes', 'lentils with sun dried tomatoes and feta']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']"
5060,black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",brown rice and vegetable pilaf,"['cream of fresh green bean soup', 'one pot veggie pasta', 'herbed rice puffs']",chicken and pineapple salad with curry mayonnaise,"['pineapple coconut juice', 'the ultimate coconut scones', 'pineapple   coconut muffins']",coca cola cake,"['coca cola brownies', 'cracker barrel double fudge coca cola cake', 'coca a cola cake']"
593927,black bean  corn  and tomato salad,"['broiled zucchini with herbs', 'pinto bean  fresh corn and tomato salad', 'garlic and thyme green beans']",black coffee barbecue sauce,"['coffee bbq  grilling sauce', 'soy sauce substitute with very low sodium', 'barbecued ribs']",braised brussels sprouts with vinegar and dill,"['roasted brussels sprouts with dill', 'basic garlic butter brussels sprouts', 'caramelized brussels sprouts']",blue stuffed mushrooms,"['restaurant style bleu cheese dressing', 'blue cheese pasta', 'fresh cream of mushroom soup']",chicken breasts saltimbocca,"['stuffed chicken rollups', 'crock pot stuffed chicken rolls', 'chicken broccoli cordon bleu casserole']"
