user_id,prediction1,prediction2,prediction3,prediction4,prediction5
39835,"('black coffee barbecue sauce', 5)","('stuffed acorn squash', 5)","('texas style picante sauce', 5)","('gehaktballen  dutch meatballs', 5)","('low fat thai steak salad', 5)"
157425,"('black bean  corn  and tomato salad', 5)","('black coffee barbecue sauce', 5)","('chicken and pineapple salad with curry mayonnaise', 5)","('appetizers easy stuffed mushrooms', 5)","('chicken fried steak with cracked pepper gravy', 5)"
107135,"('lou s fabulous bruschetta', 5)","('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)"
222564,"('black coffee barbecue sauce', 5)","('chilies corn muffins', 5)","('classic cream scones', 5)","('christmas snow punch', 5)","('moussaka', 5)"
280271,"('lou s fabulous bruschetta', 5)","('black coffee barbecue sauce', 5)","('rote grtze', 5)","('chicken caesar wraps', 5)","('moussaka', 5)"
482376,"('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('chicken and pineapple salad with curry mayonnaise', 5)","('chicken fried steak with cracked pepper gravy', 5)","('chilies corn muffins', 5)"
174096,"('lou s fabulous bruschetta', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)","('blueberry buttertarts', 5)"
428885,"('lou s fabulous bruschetta', 5)","('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)"
5060,"('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)","('brown rice and vegetable pilaf', 5)","('chicken and pineapple salad with curry mayonnaise', 5)","('coca cola cake', 5)"
593927,"('black bean  corn  and tomato salad', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)","('blue stuffed mushrooms', 5)","('chicken breasts saltimbocca', 5)"
8688,"('lou s fabulous bruschetta', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)","('brown rice and vegetable pilaf', 5)"
1179225,"('black coffee barbecue sauce', 5)","('cola fruit and date loaf', 5)","('classic cream scones', 5)","('chicken giblets or livers', 5)","('lemon curried lamb chops', 5)"
486725,"('my chicken parmigiana', 5)","('creamy cajun chicken pasta', 5)","('strawberries with sour cream and brown sugar', 4.960884321931104)","('asiago cream sauce', 4.943320485251824)","('peel and eat shrimp with spicy cocktail sauce', 4.939404124386929)"
197023,"('lou s fabulous bruschetta', 5)","('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)"
173579,"('lou s fabulous bruschetta', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('blueberry buttertarts', 5)","('cherry sandwich maker snack', 5)"
104295,"('appetizers easy stuffed mushrooms', 5)","('chilies corn muffins', 5)","('crab bisque chincoteague', 5)","('country fried yellow squash', 5)","('greek stuffed meatloaf', 5)"
47892,"('blueberry buttertarts', 5)","('all purpose crock pot chicken', 5)","('chinese plum sauce', 5)","('christmas snow punch', 5)","('homemade butter', 5)"
67656,"('braised brussels sprouts with vinegar and dill', 5)","('chicken and pineapple salad with curry mayonnaise', 5)","('chicken fried steak with cracked pepper gravy', 5)","('crab bisque chincoteague', 5)","('homemade butter', 5)"
53932,"('black coffee barbecue sauce', 5)","('brown bag apple salad', 5)","('chicken and pineapple salad with curry mayonnaise', 5)","('cola fruit and date loaf', 5)","('classic cream scones', 5)"
542159,"('lou s fabulous bruschetta', 5)","('black coffee barbecue sauce', 5)","('christmas snow punch', 5)","('crab bisque chincoteague', 5)","('lemon curried lamb chops', 5)"
679953,"('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('brown bag apple salad', 5)","('blue stuffed mushrooms', 5)"
204024,"('lou s fabulous bruschetta', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('brown rice and vegetable pilaf', 5)","('brown bag apple salad', 5)"
422893,"('oatmeal chocolate chip cookies ii', 5)","('dry rub for barbecued ribs', 5)","('fresh green beans with garlic', 5)","('poverty meal', 5)","('fudge crinkles  a great 4 ingredient cake mix cookie', 5)"
400708,"('lou s fabulous bruschetta', 5)","('black coffee barbecue sauce', 5)","('chicken breasts saltimbocca', 5)","('chicken and pineapple salad with curry mayonnaise', 5)","('chilies corn muffins', 5)"
158086,"('lou s fabulous bruschetta', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('brown bag apple salad', 5)","('blue stuffed mushrooms', 5)"
136997,"('black coffee barbecue sauce', 5)","('lemon curried lamb chops', 5)","('stuffed acorn squash', 5)","('moussaka', 5)","('german potato cheese soup', 5)"
169969,"('lou s fabulous bruschetta', 5)","('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)"
17803,"('chicken and pineapple salad with curry mayonnaise', 5)","('coca cola cake', 5)","('crock pot chocolate zucchini nut bread', 5)","('amber and zach s kisses', 5)","('rote grtze', 5)"
209747,"('lou s fabulous bruschetta', 5)","('black coffee barbecue sauce', 5)","('almond fudge banana cake', 5)","('chicken fried steak with cracked pepper gravy', 5)","('classic cream scones', 5)"
101823,"('zucchini lasagna  lasagne    low carb', 5)","('puppy chow snack mix', 5)","('dynamite oatmeal chocolate chip raisin cookies', 5)","('mrs  field s oatmeal cookies', 5)","('oatmeal chocolate chip cookies ii', 5)"
160974,"('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('brown bag apple salad', 5)","('blueberry buttertarts', 5)"
560491,"('lou s fabulous bruschetta', 5)","('christmas snow punch', 5)","('moussaka', 5)","('alaskan blueberry pie', 5)","('elly may s wedding punch', 5)"
145352,"('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)","('brown rice and vegetable pilaf', 5)","('chicken breasts saltimbocca', 5)","('chicken and pineapple salad with curry mayonnaise', 5)"
452940,"('braised brussels sprouts with vinegar and dill', 5)","('lee s hot crab dip', 5)","('lemon whipped cream', 5)","('harvard beets  sweet sour red beets', 5)","('grandma s apple muffins', 5)"
324390,"('lou s fabulous bruschetta', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)","('brown rice and vegetable pilaf', 5)"
9869,"('lou s fabulous bruschetta', 5)","('black bean  corn  and tomato salad', 5)","('cabbage and sausage soup', 5)","('black coffee barbecue sauce', 5)","('braised brussels sprouts with vinegar and dill', 5)"
29196,"('reese s peanut butter cups', 5)","('dark chocolate cake', 5)","('lemon sherbet punch', 5)","('low fat thai steak salad', 5)","('strawberry pretzel jell o', 5)"
